,origin_time,latitude,longitude,depth,EX,EY,EZ,evid,magnitudes
0,2000-10-06 01:55:01.140,35.259269,133.370304,11.04,0.5,0.8,1.8,200003,1.94
1,2000-10-06 13:32:06.910,35.271187,133.326855,12.35,3.3,2.8,4.9,200095,4.62
2,2000-10-06 13:34:28.880,35.261483,133.361922,11.15,0.6,0.9,1.2,200098,4.84
3,2000-10-06 13:36:08.410,35.272302,133.338208,14.48,1.0,1.3,2.0,200100,4.86
4,2000-10-06 13:38:23.870,35.256295,133.367505,13.76,1.6,1.3,2.8,200102,4.43
5,2000-10-06 13:41:46.020,35.284424,133.330339,8.76,0.9,1.0,1.2,200105,4.33
6,2000-10-06 13:43:10.300,35.277755,133.354614,14.08,1.1,0.9,1.7,200109,3.99
7,2000-10-06 13:47:23.740,35.269299,133.346891,6.77,1.9,2.1,9.7,200117,3.24
8,2000-10-06 13:49:21.010,35.278239,133.342049,14.57,1.1,0.9,1.5,200121,3.08
9,2000-10-06 13:50:13.440,35.276526,133.352124,12.48,0.7,0.7,1.1,200123,4.07
10,2000-10-06 13:51:33.220,35.207263,133.402629,12.75,0.7,0.6,1.7,200125,4.22
11,2000-10-06 13:52:28.500,35.263607,133.35734,10.41,0.9,0.8,1.3,200127,3.37
12,2000-10-06 13:57:14.790,35.193486,133.386613,18.62,3.3,2.1,3.5,200134,3.65
13,2000-10-06 13:57:57.750,35.275464,133.34139,11.04,0.7,0.9,1.3,200135,3.45
14,2000-10-06 13:59:44.870,35.376908,133.28938,10.1,0.9,0.9,1.2,200139,4.14
15,2000-10-06 14:04:57.990,35.307052,133.326221,12.28,1.1,1.1,1.8,200148,3.28
16,2000-10-06 14:07:17.620,35.347957,133.335449,9.26,0.9,1.2,1.5,200151,3.57
17,2000-10-06 14:07:36.530,35.313293,133.31696,9.16,1.0,1.2,1.1,200152,3.4
18,2000-10-06 14:09:12.300,35.288867,133.293457,21.05,4.7,5.9,2.2,200155,3.02
19,2000-10-06 14:09:40.730,35.290214,133.283024,4.68,0.7,0.7,1.2,200156,2.95
20,2000-10-06 14:14:47.720,35.270182,133.367326,14.42,0.9,0.8,1.6,200166,3.62
21,2000-10-06 14:15:35.760,35.324174,133.347119,15.83,1.1,1.5,2.0,200167,3.21
22,2000-10-06 14:16:17.660,35.254513,133.380534,7.43,1.3,2.0,3.5,200168,2.42
23,2000-10-06 14:20:37.760,35.297656,133.32137,7.12,1.5,2.1,4.8,200177,3.13
24,2000-10-06 14:21:03.070,35.218225,133.39799,12.41,0.8,0.7,1.4,200178,2.73
25,2000-10-06 14:23:11.640,35.227702,133.388167,8.43,0.9,1.1,2.1,200182,3.2
26,2000-10-06 14:28:05.830,35.248169,133.376774,7.24,1.7,1.4,4.0,200192,2.64
27,2000-10-06 14:28:41.480,35.317472,133.316235,8.75,1.1,1.3,1.1,200193,3.99
28,2000-10-06 14:29:12.280,35.239889,133.386385,9.68,1.1,1.5,1.7,200194,3.36
29,2000-10-06 14:30:12.530,35.317415,133.316195,9.58,0.9,0.7,0.9,200196,3.69
30,2000-10-06 14:30:33.700,35.266353,133.354924,10.63,0.5,0.6,1.3,200197,3.65
31,2000-10-06 14:30:58.300,35.302327,133.307511,10.12,1.5,2.0,4.9,200198,2.66
32,2000-10-06 14:31:32.420,35.31674,133.325195,6.3,1.2,1.5,2.5,200199,2.48
33,2000-10-06 14:34:01.430,35.36757,133.282015,10.18,2.1,1.8,3.0,200205,3.7
34,2000-10-06 14:36:11.060,35.195199,133.422664,9.98,1.1,1.0,1.3,200208,5.07
35,2000-10-06 14:37:54.600,35.195304,133.419499,10.96,0.9,1.2,3.4,200211,3.79
36,2000-10-06 14:40:05.480,35.246277,133.372404,9.19,0.9,0.8,1.2,200215,4.26
37,2000-10-06 14:41:34.740,35.318913,133.319784,9.76,0.6,0.8,1.2,200216,3.15
38,2000-10-06 14:41:54.930,35.35035,133.335482,9.8,0.8,0.7,1.4,200217,3.77
39,2000-10-06 14:43:31.070,35.314278,133.31875,9.57,0.9,0.9,1.9,200220,4.62
40,2000-10-06 14:44:39.480,35.297319,133.327637,11.52,0.8,0.9,1.4,200221,2.3
41,2000-10-06 14:46:30.080,35.294991,133.366447,14.53,1.4,1.4,2.3,200224,3.04
42,2000-10-06 14:47:16.060,35.285453,133.343693,12.37,0.8,0.7,1.4,200225,2.86
43,2000-10-06 14:47:36.850,35.317753,133.294474,10.65,2.0,0.9,2.3,200226,2.89
44,2000-10-06 14:49:59.710,35.310453,133.314575,11.53,1.4,0.9,1.4,200229,2.94
45,2000-10-06 14:50:16.330,35.318355,133.323226,9.91,0.9,1.1,1.8,200230,3.47
46,2000-10-06 14:56:35.590,35.263114,133.361882,8.49,0.8,0.9,1.9,200239,4.15
47,2000-10-06 14:58:26.630,35.196269,133.418473,8.39,0.9,0.9,4.0,200242,2.79
